OBJECTID,SETTLEMENT,REG_NAME,DIST_NAME,X,Y,house_count,shape name
6225,,Juba Dhexe,Saakow,42.26087952,1.840019941,13,SALAGLE
6269,Buulo kuunyo,Juba Dhexe,Saakow,42.30641,1.91929,13,SALAGLE
6203,Wakalla weyn,Juba Dhexe,Saakow,42.52698135,1.808429956,11,SAKOW
6107,Dasci-chi tifou,Juba Dhexe,Saakow,42.30147934,1.518229962,8,SAKOW
6196,,Juba Dhexe,Saakow,42.24982071,1.803779959,7,SALAGLE
6250,Waabo,Juba Dhexe,Saakow,42.22266006,1.891149997,7,SALAGLE
6143,,Juba Dhexe,Saakow,42.48498917,1.619339943,5,SAKOW
6141,Baq dheere,Juba Dhexe,Saakow,42.38722992,1.613549948,4,SAKOW
6170,,Juba Dhexe,Saakow,42.54618073,1.720639945,3,SAKOW
6198,Dhuqay,Juba Dhexe,Saakow,42.3160286,1.80539,3,SALAGLE
6111,Qataa qori,Juba Dhexe,Saakow,42.41530991,1.530400038,2,SAKOW
6183,Naweytu,Juba Dhexe,Saakow,42.38325119,1.765349984,2,SAKOW
6140,,Juba Dhexe,Saakow,42.40869904,1.613520027,1,SAKOW
6239,Buur danyeer,Juba Dhexe,Saakow,42.36277008,1.868109942,1,SALAGLE
1729,Sheekh,Togdheer,Sheikh,45.1812,9.94099,801,SHEIKH
162,Huddisa,Togdheer,Sheikh,45.1615963,10.00463236,425,SHEIKH
166,Gidheys,Togdheer,Sheikh,45.46039927,9.94935461,397,SHEIKH
147,Gugux,Togdheer,Sheikh,45.40455176,9.96604135,313,SHEIKH
156,Laaleys,Togdheer,Sheikh,45.16597645,10.09479494,291,SHEIKH
151,Geel loo kor,Togdheer,Sheikh,45.18114358,10.13995503,258,SHEIKH
167,Suuqsade,Togdheer,Sheikh,45.3301079,9.94135951,251,SHEIKH
1437,Hul-qaboobe,Togdheer,Sheikh,45.08561,10.01149,155,SHEIKH
142,Bixin dule,Togdheer,Sheikh,45.10363178,10.1595247,138,BERBERA
1731,Jidhaangob,Togdheer,Sheikh,45.47244,9.84832,135,SHEIKH
1739,Waabaa,Togdheer,Sheikh,45.21591,9.93638,124,SHEIKH
1741,Wagar,Togdheer,Sheikh,45.41522,9.96034,112,SHEIKH
1587,Beeyo macaan,Togdheer,Sheikh,45.84745,10.07186,111,BERBERA
146,Mija caseeye,Togdheer,Sheikh,45.12013167,10.14552727,93,BERBERA
353,Kalbarre,Togdheer,Sheikh,45.5712274,9.90520181,92,BURAO
1748,Cagaaray,Togdheer,Sheikh,45.47146616,9.846382324,87,SHEIKH
1456,Guran,Togdheer,Sheikh,45.17787,10.0747,85,SHEIKH
1428,Calaacule,Togdheer,Sheikh,45.09722,9.92729,84,SHEIKH
1732,Garas,Togdheer,Sheikh,45.42165,10.09321,80,BERBERA
1743,Wadaba,Togdheer,Sheikh,45.04526,10.08925,77,BERBERA
1632,Cali ciise,Togdheer,Sheikh,45.09706,9.92845,73,SHEIKH
